template,send_month,option,subject,preheader,hero_image,hero_alt,eyebrow,issue_date,headline,body_paragraph_1,body_paragraph_2,cta_url,cta_text,tip_label,tip_headline,tip_body,tip_link_url,tip_link_text,points_label,point_1_title,point_1_body,point_2_title,point_2_body,point_3_title,point_3_body,aside_label,aside_body,note_label,note_body
Core Service,Sep 2026 · Janitorial,A,Nobody notices clean — until the day it slips,"A written scope, audits on a schedule, one team accountable by name.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Uniformed janitorial crew mid-shift in a bright lobby,JANITORIAL & CLEANING,,Nobody notices clean. Everybody notices the day it slips.,"Cleaning is the only service in your building judged every single day and reported only when it fails. By the time a tenant emails about the restroom, the program has drifted for weeks.","Ours is built so the standard is written down, someone owns it by name, and it gets checked before you have to. Daily, periodic and deep-clean tasks are defined by area and frequency.",,,,,,,,HOW THE PROGRAM HOLDS,"A SCOPE, NOT A HANDSHAKE","Daily, periodic and deep-clean tasks written by area and frequency — so ""clean"" means the same thing to both teams.",AUDITS ON A SCHEDULE,Quality auditors inspect proactively and log what they find. You see the report whether or not anything was wrong.,CLOSED IN YOUR SYSTEM,"Our teams work in Corrigo, ServiceChannel, FacilitySource and FEXA, so requests close where you already track them.",WHO SHOWS UP,"Cleaning is a people business, and turnover is what breaks it. We hire selectively — only 5% of applicants are brought on — train through master trainers, and give every site a named account executive.",,
Core Service,Sep 2026 · Janitorial,B,Your cleaning program is one no-show from a complaint,See the audit report whether or not anything went wrong.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Close-up: gloved hand wiping a spotless restroom fixture,JANITORIAL & CLEANING,,Clean isn't a mop. It's a management system.,"A cleaning program rarely fails all at once. It slips — a missed detail here, a skipped task there — until the complaints start and you're managing a problem instead of a schedule.","We fix drift with structure: a documented scope, proactive audits you can see, and requests that close inside the systems you already use.",,,,,,,,WHY IT DOESN'T SLIP,IT'S WRITTEN DOWN,"Every task, area and frequency is documented, so the standard doesn't live in someone's head.",YOU SEE THE REPORT,"We catch drift before you do, and show you the check either way.",WHERE YOU TRACK IT,No new portal to learn — we close the work in the system you already use.,THE PEOPLE PART,"The program is only as good as the people on it. We're selective on hiring, serious on training, and we put a name on every account.",,
Core Service,Sep 2026 · Janitorial,C,"The restroom is your reputation, checked daily",Only 5% of applicants make our team. Here's why that matters.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Team lead reviewing a cleaning checklist on a tablet,JANITORIAL & CLEANING,,The standard is written down — and someone owns it by name.,The difference between a clean building and a complaint isn't effort. It's whether the standard is written down and whether someone is accountable for it by name.,"We hire selectively, train through master trainers, and give every site a named account executive — so the people in your building are why it stays clean.",,,,,,,,BUILT NOT TO DRIFT,DEFINED BY AREA,"You approve the scope up front; we deliver to it, not to interpretation.",CHECKED PROACTIVELY,"Inspections are scheduled, not triggered by a complaint.",ONE PLACE,Requests start and finish where your team already looks.,WHY TURNOVER DOESN'T WIN,"Consistency comes from people, not promises: selective hiring, real training, and a named contact who owns your site.",,
Core Service,Oct 2026 · Repairs,A,The work order you forgot is the one that floods,"One scope, one invoice, one number for every trade.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Technician fixing an HVAC/plumbing unit in a mechanical room,REPAIRS & MAINTENANCE,,The small repair you defer is the one that floods the floor below.,"The repair you meant to get to is the one that turns into water on the floor below. Deferred work orders don't disappear — they compound, and on their timeline, not yours.","We put every trade on one scope, one invoice and one number, and close the work inside the system you already track. Our own teams and vetted partners handle the rest.",,,,,,,,HOW THE WORK CLOSES,ONE WORK-ORDER SYSTEM,"Every trade routes through one scope and one system, so nothing gets handled off-book or forgotten.","CLOSED, NOT PENDING","Work is tracked to completion in your system, so you see status without chasing anyone.",ONE INVOICE,"One scope, one invoice, one number — instead of reconciling five vendors every month.",WHO CLOSES THE WORK,"The trades we send are vetted, insured and accountable — not whoever was available. One standard applies whether it's our crew or a partner.",,
Core Service,Oct 2026 · Repairs,B,Small repairs get expensive when they wait,Deferred work orders don't disappear — they compound.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Maintenance tech with tool bag walking a corridor,REPAIRS & MAINTENANCE,,One work-order system for every trade in the building.,"Most buildings run repairs through a patchwork of vendors, each with its own number, invoice and excuse. The gaps between them are where things break twice.","Painting, restoration, lighting, HVAC, plumbing and more — dispatched, tracked and closed in one place, so nothing falls through the gap between vendors.",,,,,,,,"ONE SYSTEM, EVERY TRADE","EVERY TRADE, ONE SCOPE","Painting, lighting, HVAC, plumbing and more — one documented program instead of a stack of vendors.",TRACKED TO DONE,Nothing sits 'pending' quietly — the loop closes where you already track it.,ONE NUMBER TO CALL,"The whole building's work lands on a single, predictable invoice.",THE TRADES BEHIND IT,"Behind one number is a bench of vetted trade partners, coordinated so the work closes cleanly.",,
Core Service,Oct 2026 · Repairs,C,One number for every repair in the building,"Vetted trade partners, dispatched and closed in your system.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Two techs coordinating a repair on a work-order tablet,REPAIRS & MAINTENANCE,,Repairs shouldn't need three vendors and four phone calls.,"When a fix needs three calls and four days, small problems become expensive ones. A single accountable team closes the loop before that happens.","You get a named account executive and client service manager, not a queue — so the person who answers knows your building.",,,,,,,,WHY NOTHING FALLS THROUGH,NOTHING OFF-BOOK,"The scope is written and priced against what the building actually needs, not a template.",YOU SEE THE STATUS,"You get visibility from request to done, on every trade.",NO VENDOR MAZE,No vendor maze: one point of contact for everything.,"VETTED, NOT RANDOM","We stand behind every trade on the contract, our own and our partners' alike.",,
Core Service,Nov 2026 · Security,A,Your lobby is the first thing anyone judges,"Trained, uniformed coverage — not a rotating cast of temps.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,"Sharp, uniformed concierge at a modern lobby desk",SECURITY & CONCIERGE,,Your lobby introduces the building before anyone says a word.,"Your lobby introduces the building before anyone says a word. A staffed, sharp front-of-house says the property is well run; a gap at the desk says the opposite — loudly.","We staff front-of-house with trained, uniformed people and back them with a named account executive — so coverage is consistent and the standard is owned.",,,,,,,,HOW COVERAGE HOLDS,"TRAINED, NOT TEMPORARY","Front-of-house is staffed by trained, uniformed people to a written standard — not whoever the agency sent.",A NAMED CONTACT,"Every site gets a named account executive and client service manager — a person, not a ticket queue.",ON ONE CONTRACT,"Security and concierge sit on the same contract as cleaning and maintenance — one relationship, not another RFP.",WHO STANDS AT YOUR DESK,"Coverage means little if the person is wrong for your lobby. We hire selectively and train to your building's standard, so the desk reflects the property.",,
Core Service,Nov 2026 · Security,B,Coverage gaps are what tenants remember,"A named account executive, not a queue.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Security officer greeting a visitor at the entrance,SECURITY & CONCIERGE,,Coverage gaps are what tenants remember.,Front-of-house is judged constantly and remembered at its worst. One uncovered shift or one indifferent greeting is what a tenant carries into a renewal conversation.,"Security and concierge run on the same contract as the rest of your program, with one point of accountability instead of another vendor to manage.",,,,,,,,WHO STANDS AT YOUR DESK,STAFFED TO A STANDARD,"Coverage is defined shift by shift, so there are no quiet gaps at the desk.",NOT A QUEUE,"You call someone who knows your building, not whoever picks up.","SAME TEAM, SAME STANDARD","Same team, same standard, same accountability across every service.",THE HIRING BAR,"Front-of-house is a hiring problem first. We're selective, we train, and we keep the same faces in place.",,
Core Service,Nov 2026 · Security,C,"A front desk that reflects the building, not a temp agency",Front-of-house that looks like it belongs to your building.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,"Front-desk staff checking in a guest, badge visible",SECURITY & CONCIERGE,,A front desk that reflects your property — not a staffing agency.,"Coverage is only half the job. Who is standing at your desk — trained, uniformed and accountable — is what tenants actually experience.","We hire selectively and train to your building's standard, so the person at your desk represents the property the way you would.",,,,,,,,WHY IT STAYS CONSISTENT,"COVERAGE, GUARANTEED",Every post has a standard and a name attached to it.,OWNED BY SOMEONE,Accountability has a name and a number.,NO EXTRA VENDOR,No separate staffing vendor to manage on the side.,WHY IT'S CONSISTENT,The person at your desk is chosen and trained for it — not a rotating cast of temps.,,
Core Service,Dec 2026 · Pest (P1),A,The pest problem tenants report before you see it,"P1 Pest Solutions — our pest division, same contract.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,P1 technician placing a monitor in a back-of-house area,PEST CONTROL,,Tenants report pests before property managers ever see them.,"Pests are the one problem tenants usually spot before you do. By the time it reaches your inbox, it's a reputation issue, not just a maintenance one.","P1 Pest Solutions is our pest division — commercial-grade treatment on the same contract, invoice and point of contact as everything else we do.",,,,,,,,HOW WE TREAT IT,"HARBORAGE, NOT SURFACE","We target the harborage — cracks, voids, equipment cavities — not just the surfaces you can see.",MONITORED BETWEEN VISITS,"Monitors between visits tell us whether the population is falling — so you get a trend, not a guess.",ON ONE CONTRACT,"Pest control runs on the same contract, invoice and contact as the rest of your program.",HOW WE TREAT IT,"Commercial pest work lives or dies on the record. We document what we find and do, so you're covered for audits, brand standards and corporate.",,
Core Service,Dec 2026 · Pest (P1),B,Pest control belongs on the same contract,Commercial pest control built for audits and records.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Tech inspecting under equipment with a flashlight,PEST CONTROL,,Pest control belongs on the same contract as everything else.,Most buildings bolt pest control on as a separate vendor with a separate invoice and separate promises. It doesn't have to live outside the rest of your program.,"We treat the harborage, not the surface, and leave a written record of what was found and done — built for audits, not just for show.",,,,,,,,"PEST WORK, ON THE RECORD",TREATED AT THE SOURCE,"Treatment goes where pests actually live and travel, with monitors between visits.",PROOF IT'S WORKING,"We measure results between services, not just show up and spray.",SAME INVOICE,"P1 is our division, not a subcontractor — coordinated with everything else on-site.",THE P1 DIFFERENCE,"P1 is built for commercial reality: targeted treatment, monitoring, and a written trail your auditor will accept.",,
Core Service,Dec 2026 · Pest (P1),C,One vendor for the whole building — pests included,"One vendor, one invoice, pests included.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Clean commercial kitchen with monitor stations in place,PEST CONTROL,,"One building, one program — pests included.","Commercial pest work is about the record as much as the result — what was found, what was treated, and proof for your audit file.","One vendor for the whole building means pest work is coordinated with cleaning and maintenance, not fighting them.",,,,,,,,WHY IT'S ON ONE CONTRACT,A WRITTEN RECORD,Every placement and finding is documented for your file.,"TREND, NOT GUESSWORK","You see whether it's working, backed by the record.",P1 IS OUR DIVISION,"One relationship covers the building, pests included.",BUILT FOR AUDITS,The result matters; the proof matters as much. Every visit leaves a documented record.,,
Core Service,Jan 2027 · Janitorial,A,Winter grime is hard on floors and first impressions,"Floor care, deep cleans and daily standards, all written down.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Crew running a floor scrubber across a wet-look lobby floor,JANITORIAL & CLEANING,,Winter drags grime through your front door every day.,"Winter walks straight through your front door. Salt, slush and grit ride in on every shoe and land on the floors visitors judge first.","We handle the season's grime on a schedule — entrance mats, daily attention to high-traffic floors, and periodic deep cleans that keep finish intact.",,,,,,,,HOW THE STANDARD HOLDS,"A SCOPE, NOT A HANDSHAKE","Floor care, restrooms and deep cleans are written by area and frequency, so winter grime doesn't win.",AUDITS ON A SCHEDULE,Quality auditors inspect proactively and log what they find. You see the report whether or not anything was wrong.,CLOSED IN YOUR SYSTEM,"Our teams work in Corrigo, ServiceChannel, FacilitySource and FEXA, so requests close where you already track them.",WHO SHOWS UP,"Winter is when programs slip and people quit. We hire selectively, train through master trainers, and keep a named contact on your account through the season.",,
Core Service,Jan 2027 · Janitorial,B,"Salt, slush and traffic — your floors take the season hardest",We handle the grime the season drags in.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Entrance mats and squeegee work by the doors in winter,JANITORIAL & CLEANING,,Salt and slush are hard on floors and first impressions.,"The season is hardest on the surfaces that matter most — entrances, lobbies and the floors that set a first impression the moment someone walks in.","Floor care, restroom standards and deep cleans are written into the scope by area and frequency, so winter doesn't quietly erode the building.",,,,,,,,WHAT WINTER DOESN'T TOUCH,FLOORS ON A SCHEDULE,"The high-traffic surfaces get defined daily attention, not occasional catch-up.",YOU SEE THE REPORT,"We catch winter drift before you do, and show you the check either way.",WHERE YOU TRACK IT,No new portal — floor-care requests close in the system you already use.,THE PEOPLE PART,"The season tests consistency, and consistency is a people problem. We staff and train so the standard holds.",,
